"Bodega","Distrito","Aforo","Productos","Ventas1","Ventas2","Ventas3","Ventas4"
"parafínico circunvolar","El Agustino",9,127,1706.39,1265.68,1688.18,1696.94
"acidalio matriarca","Independencia",2,32,860.01,1216.74,882.5,1064.82
"apoyacabeza alegrador","Surquillo",2,33,3082.48,3956.8,3898.45,3826.32
"infructuosidad acolitado","San Juan de Miraflores",2,31,2580.3,2512.39,2991.38,3103.73
"magnetohidrodinámica intermitir","San Juan de Lurigancho",5,77,1943.87,1565.55,1760.43,1689.81
"clerecía centelleante","San Juan de Miraflores",10,169,1511.16,1156.45,1813.03,1676.3
"descamación alfonsario","San Juan de Lurigancho",9,152,2162.33,2617.21,2255.82,2617.3
"mangosta lucernario","San Juan de Lurigancho",5,66,2419.23,3810.96,2938.35,2870.65
"engolfar corpúsculo","San Martin de Porres",2,26,1901.06,1367.98,1338.92,1564.37
"falordia entonamiento","San Juan de Lurigancho",3,56,2595.09,2217.82,3255.42,2915.23
"anormalidad dominical","San Miguel",2,29,2861.8,3276.81,2794.07,3078.95
"apilador flotadura","San Isidro",3,56,5066.65,4481.94,4381.74,5080.35
"bailecito descreído","Puente Piedra",5,86,4282.74,4295.62,4022.23,4828.61
"producibilidad abemolar","El Agustino",4,58,1259.65,1183.84,1055.01,945.56
"zurrarse copalear","Ate",13,196,2153.49,2028,2037.36,2670.22
"mesquital refrigerador","Los Olivos",6,79,3831.6,3566.59,3461.53,3490.19
"esterculiáceo sedentarización","Santiago de Surco",2,37,4648.17,5371.99,4758.83,5397.08
"araucano viñamarino","Ate",8,121,1860.01,1709.99,1553.23,2015.68
"trasmudamiento enfierrar","San Martin de Porres",4,45,1086.98,1342.28,1105.12,993.88
"ardorosamente carretero","San Juan de Lurigancho",6,92,2896.54,3056.9,2806.57,2851.49
"confederar degollador","Ate",2,33,2139.02,1869.49,1733.44,1603.27
"praseodimio tragamillas","Independencia",2,26,2835.98,2998.94,2343.03,2632.36
"parenquimatoso verdinegro","San Juan de Lurigancho",13,172,1596.99,1181.07,1323.14,1295.2
"horribilidad prosénquima","San Miguel",13,190,3687.63,3935.09,3393.36,3445.76
"atingido oficiosamente","Los Olivos",5,90,3091.33,2825.39,4009.01,2580.05
"zaramagullón galapero","San Isidro",3,43,3195.5,2858.43,2506.94,3308.91
"barbitonto blefaritis","Comas",4,58,1418.84,1833.77,1613.02,1525.18
"subversión selvicultura","San Martin de Porres",8,115,1134.91,1189.5,1324.72,1003.97
"concupiscencia padrillo","Los Olivos",2,23,3693.89,3975.19,3370.31,3496.63
"oriflama ajardinar","San Juan de Lurigancho",10,152,1440.39,1168.99,1179.63,1600.65
"gorrinera madrinero","San Borja",5,60,2079.41,2795.94,2101.36,2464.56
"pericialmente estafiate","Puente Piedra",2,27,3507.93,3140.42,3337.07,2780.21
"escañeto puntualmente","San Borja",12,168,2375.94,2714.58,3183.36,2924.81
"enorgullecimiento embriología","La Victoria",4,56,1409.28,1057.49,1280.22,1556.01
"exacción cocotología","San Borja",6,91,4662.83,5692.12,4499.03,4115.55
"adenoideo demacración","San Juan de Lurigancho",13,203,1988.68,1839.69,1911.73,1347.01
"desorientación microcircuito","San Juan de Miraflores",9,143,2877.02,3188.08,2500.9,2427.12
"biengranada concolón","Ate",5,96,2946.49,2452.38,2755.63,2353.19
"acebuchina patinazo","Puente Piedra",2,28,1489.45,1796.69,1873.51,1763.17
"apriscar entradilla","Santa Anita",4,52,2026.36,1490.09,1704.7,1873.38
"desasosegar perpejana","San Borja",8,119,2997.58,3073.4,2779.87,2865.58
"descalzaperros desmandar","Ate",5,70,2695.73,2239.98,2131.33,2483.79
"aplanacalles conchicharse","Santiago de Surco",2,33,1161,1562.23,1319.19,1579.26
"balconaje decusata","San Juan de Lurigancho",6,75,2649.18,2971.14,2098.46,3034.63
"constrictor carbuncoso","San Martin de Porres",13,213,4565.66,4469.41,4782.7,4511.76
"mondapozos intrascendental","Puente Piedra",5,83,2320.66,2124.12,2232.79,1983.25
"antojana frenológico","Comas",3,42,851.83,1240.42,1142.01,1113.07
"alienable mordicar","La Victoria",3,32,1978.09,2024.48,2249.81,1875.29
"coreografía pillopillo","Los Olivos",7,113,2020,2217.24,2012.69,2359.71
"responsar desapoyar","Comas",13,178,2103.69,1934.07,2138.99,2222.88
"substancia fregatriz","Ate",5,77,1364.85,824.06,1025.73,882.09
"destructor cozolmeca","San Juan de Lurigancho",3,40,1688.73,1554.54,1482.77,1723.42
"establecido própter nuptias","Ate",5,84,2668.44,2067.42,2116,3083.43
"peligrosamente obsolescencia","Miraflores",9,114,3903.58,4482.55,4341.22,3813.87
"reflexión dendrotráquea","El Agustino",7,106,4905.55,4872.35,4827.99,4889.46
"traspasación antenista","Los Olivos",4,51,3189.96,2953.22,3756.84,3181.74
"parietaria elaborado","Santa Anita",13,178,1347.03,1118.69,1196.01,1560.75
"aguijonear manguitería","San Juan de Lurigancho",6,86,1827.44,1958.45,2447.69,2373.25
"escullón recostadero","San Juan de Lurigancho",13,182,3882.72,3747.64,3607.36,3529.23
"racionalmente hidalguez","San Juan de Lurigancho",4,64,1665.7,1380.07,1448.18,1311.8
"bejarano procedimental","San Juan de Miraflores",2,22,2270.28,2278.37,2661.81,2970.52
"palillero catoptroscopia","San Martin de Porres",7,108,3023.85,2690.74,3084.47,3726.25
"cuitadamente blandurilla","Santiago de Surco",2,22,1910,2403.15,2575.16,1615.94
"ajornalar podadera","Santa Anita",13,192,3394.66,4037.52,3972.32,4058.73
"entronizar lucharniego","San Juan de Miraflores",5,74,1555.03,1477.2,2105.52,2192.51
"gradiente conventualidad","Santiago de Surco",9,130,2156.96,2136.73,2503.38,2560.59
"amarilídeo estrazar","San Juan de Lurigancho",13,178,1352.9,1345.87,1098.54,1252.65
"chirmoloso imperscrutable","Breña",6,103,2206.53,2337.89,1931.28,1836.38
"elipsoidal peticionario","Ate",4,52,3001.1,3101.44,3613.82,2441.22
"minoración segundillo","San Martin de Porres",2,28,3117.61,3571.25,3640.21,3119.35
"multilátero homologación","Villa María del Triunfo",2,29,2699.68,2698.02,2551.54,3034.89
"apostilla sobrecenar","Santa Anita",8,126,4514.88,3225.22,3760.99,4010.83
"descamativo defecación","Independencia",13,200,1338.5,1618.91,1418.42,1565.23
"esmorecer procapellán","Comas",3,47,2375.86,1878.66,2344.08,2801.05
"limícola distinguible","San Martin de Porres",13,194,1931.8,2171.72,1744.38,2200.02
"encachilarse exonerar","Santiago de Surco",13,210,3066.21,4142.03,3798.42,3520.57
"cholenco capichola","Ate",2,33,3356.2,3163.36,3375.47,4015.28
"gatopardo obtestación","San Luis",6,101,1167.25,1744.86,1828.07,1945.34
"cenobita evaporable","La Molina",4,64,3305.29,2427.01,2935.33,3775.55
"arrocero empendolar","La Victoria",4,51,2066.87,2165.59,1895.51,1528.68
"almonedear gemológico","Independencia",8,109,1948,1939.38,1533.48,1862.67
"guturalmente implementar","San Martin de Porres",2,23,3186.56,3316.15,2559.37,3307.08
"afrentador verisímil","Ate",6,103,3108.64,2211.22,2303.24,2891.31
"arrianismo sampedrada","San Luis",13,192,2446.34,2463.02,1973.53,2303.48
"disceptación acrisolador","Los Olivos",2,30,2648.43,3172.31,3022.09,2888.59
"rocódromo lisamente","La Victoria",7,95,1274.58,1192.93,1279.25,1405.16
"mantelete increíble","Comas",2,29,2704.45,3217.16,2656.3,2417.42
"avancarga horticultura","El Agustino",13,210,3663.59,3443.76,3252.48,3457.81
"estabilizar vellocino","Santa Anita",3,47,3751.31,4038.42,3679.14,3589.58
"subsiguiente saduceísmo","San Juan de Lurigancho",3,44,937.5,1040.91,1370.22,1111.44
"alpechinera horriblemente","Santa Anita",9,128,3801.62,3297.77,4146.69,3989.26
"contestano chafallada","La Victoria",13,188,1829.08,1321.17,1273.71,1589.31
"canterito parábola","Surquillo",10,140,4890.85,4342.04,3560.51,4931.08
"coleador almagradura","Comas",2,31,4825.4,6178.18,5422.84,4699.81
"plenario citaredo","Los Olivos",5,70,1439.38,1940.43,2400.39,2169.42
"druidismo asimilismo","San Borja",2,36,3688.57,4341.19,3575.34,2973.96
"tucupiteño asperidad","Lince",3,49,1631.03,2087.43,1622.32,2117.41
"paradoja desendiablar","Ate",8,109,1794.9,1886.73,1404.6,1344.83
"descodificar envarracarse","El Agustino",3,49,4031.53,3472.73,4418.93,4195.67
"asfáltico pecadorizo","San Juan de Lurigancho",2,30,1858.39,1936.14,1834.13,1759.76
"tapadillo psiquismo","Puente Piedra",3,49,1640.25,1842.94,1514.14,1568.71
"carabina sandialahuén","Ate",5,70,2780.14,2855.81,2932.53,2895.03
"chinchero filderretor","Ate",4,70,2816.32,2646.68,2355.69,2484.84
"gobernar carambada","San Juan de Lurigancho",8,123,2247.73,2234,2310.31,2800.69
"lacetano polipasto","Santiago de Surco",8,115,1552.25,1642.72,1736.17,1969.4
"salveque elaborador","Ate",2,25,954.14,803.21,760.58,709.1
"histórico determinar","Miraflores",5,75,2203.75,2087.67,2466.28,1802.5
"orobanca cogermano","San Martin de Porres",13,168,1316.52,1795.35,2052.38,1525.14
"inaprovechado trascurso","Villa María del Triunfo",4,58,1331.59,1765.51,1228.22,1703.69
"espectral maricangalla","La Molina",8,116,4559.4,4356.52,4309.07,3771.47
"mareamiento salmonete","Comas",4,58,1017.67,1037.19,864.08,1195.49
"babilónico desceñir","San Juan de Miraflores",2,31,2442.8,1733.45,1895.02,2406.38
"nietastro adnominal","San Juan de Miraflores",6,109,1613.66,1664.16,2522.51,2167.31
"dajabonero acachetear","Comas",13,182,1555.17,1710.45,1695.26,1954.53
"herpético coceadura","San Juan de Lurigancho",6,87,908.04,1600.04,1166.8,1085.8
"tragavenado entigrecerse","San Martin de Porres",9,136,2289.02,2624.16,2184.4,2167.59
"deshebrar numeración","Santa Anita",6,93,947.3,817.85,1032.85,972.85
"encobrado cromosómico","San Juan de Lurigancho",13,184,932.96,1023.94,941.21,1142.33
"tipuaneño romanesco","San Juan de Lurigancho",4,59,1249.3,1566.4,1531.01,1858.51
"melosidad tabachín","San Juan de Lurigancho",4,60,1107.75,1361.01,809.7,1163.45
"vastación de verbo ad vérbum","Ate",3,44,1410.73,1300.11,1408.67,997.31
"perigallo proyectora","San Juan de Lurigancho",2,35,3617.75,3942.13,2397.04,3015.75
"granujiento dirigible","Villa María del Triunfo",2,31,2831.42,2607.32,2539.05,2716.46
"restregón pedigüeñería","Santiago de Surco",5,80,1714.6,1671.6,1941.59,1947.69
"embestidura baremación","Chorrillos",9,134,2168.54,2124.46,1994.52,2297.75
"humoralista hipérbole","Ate",5,69,2088.86,2094.42,1540.01,1772.75
"gradualismo propietario","Ate",2,26,2304.98,2549.23,2178.54,2679.78
"apuranieves herculano","Los Olivos",2,24,1626.71,1803.33,1716.81,1199.87
"transferidor instauración","San Juan de Lurigancho",3,57,1049.56,1234.58,1055.89,657.34
"expugnador faríngeo","Ate",9,115,3132.22,2597.78,2895.39,2726.77
"petróleo diyámbico","Puente Piedra",4,50,1757.96,1911.81,1998.49,1621.11
"contrapalanquín gradilla","San Martin de Porres",13,197,5599.45,5723.22,5594.61,5739.2
"nandaimeño pacotilla","Los Olivos",2,29,1798.26,1720.61,1607.17,2480
"propulsión chicotazo","San Juan de Miraflores",2,30,1598.24,2351.23,1617.53,1614.89
"desherradura bisoñada","Comas",2,30,2791.91,2007.5,2255.27,2666.35
"primichón patencia","Comas",9,131,4035.98,3003.55,3949.4,3174.26
"desembarcadero farraguista","Chorrillos",3,58,4958.87,3477.69,4162.56,4419.53
"mezquital enmendación","San Borja",5,66,2328.7,2586.89,2282.8,2780.46
"comandanta desdecir","Ate",2,26,918.42,724.5,1004.26,1058.78
"carretal desbotonar","Villa María del Triunfo",3,43,2093.69,1774.16,2007.29,1472.13
"charanga semicírculo","Rimac",3,37,2931.56,3120.98,2826.33,2486.98
"pegamoscas temblador","San Juan de Lurigancho",11,144,2076.21,1807.65,1830.98,1868.19
"impetuosidad percudir","San Isidro",4,67,3237.1,2576.89,2582.91,3194.98
"desconsuelo ordovícico","Independencia",2,29,825.77,1036.57,1352.09,1137.03
"descaminar amujeramiento","Villa María del Triunfo",2,24,4967.85,4817.72,5472.65,5186.81
"arrarray interactivo","Comas",2,25,5435.2,4883.43,5807.08,4590.85
"escondedero calzonudo","La Molina",2,24,3334.71,2902.94,3141.82,3497.87
"avisamiento manzanar","Comas",2,35,4835.89,5388.77,4669.18,5191.12
"discutidor somatizar","San Juan de Miraflores",3,38,3221.56,4049.09,4315.7,4232.36
"cabañero despertamiento","Los Olivos",7,115,2618.79,2908.67,2322.82,3487.28
"tutumpote agapando","San Juan de Lurigancho",4,69,3940.4,4454.04,4681.3,3645.23
"intempesta electrotécnico","San Martin de Porres",3,40,4049.12,3623.78,4526.11,4604.11
"sincuate perchonar","Villa María del Triunfo",6,63,1248.22,1469.42,1146.78,1146.78
"balitear castimonia","San Isidro",3,50,3403.45,2809.05,2957.81,3158.03
"torrejón humoralismo","Comas",2,30,4055.07,3967.97,3405.82,3431.35
"carrindanga autopropulsado","San Juan de Lurigancho",3,46,5356.82,4164.89,4261.76,4579.12
"vergueteado fecundizar","San Martin de Porres",2,25,2367.8,1607.25,2150.24,1897.29
"trompetería inapetencia","Villa María del Triunfo",13,187,3518.64,3328.8,3057.56,3233.59
"alforzar tótum revolútum","Los Olivos",2,38,5332.84,5309.77,5396.59,5004.82
"ortogradismo adstricción","Ate",13,193,1669.4,1679.26,1748.98,2082.26
"macetazo retrotracción","San Juan de Lurigancho",5,73,1903.22,1775.01,2242.07,2163.07
"macilento penalidad","El Agustino",9,145,1481.51,1122.38,1316.75,1105.39
"intercomunitario chonguearse","Breña",9,121,3145.01,2905.08,3633.6,3025.55
"síntesis bovático","San Juan de Lurigancho",13,194,1257.44,1457.31,1276.56,958.5
"desdormido cervantesco","Santa Anita",7,111,1492.43,1587.9,1420.46,1310.56
"revalidar majagual","San Juan de Lurigancho",2,28,1522.78,1235.3,1279.86,1647.73
"monóstrofe engolosinar","Los Olivos",6,88,1959.33,1938.98,1774.71,2205.72
"revoltura desacertadamente","Villa María del Triunfo",2,26,1053,1220.94,1081.12,936.52
"aquifolio quiebracajete","San Juan de Lurigancho",4,54,1743.18,1538.87,1539.98,1690.54
"nordestal inmarchitable","Breña",3,41,1104.69,1047.61,1149.74,1218.1
"píamente desenhornar","Villa María del Triunfo",7,103,1323.41,1051.04,978.47,910.73
"aleznado deshijar","El Agustino",10,133,2289.67,2179.15,2222.34,2691.4
"radiolocalización deslinajar","La Victoria",4,69,2384.68,2182.03,2088.94,1790.49
"uliginoso clonación","El Agustino",2,33,1507.1,1367.7,1738.39,1554.74
"sacratísimo subseguir","San Juan de Lurigancho",2,22,1501.77,1143.79,1131.17,1479.22
"religionario fanegada","Puente Piedra",5,86,2090.42,2117.81,2243.8,1819.36
"simbolizar pomposidad","San Martin de Porres",5,64,2005.8,2470.43,2011.83,1949.88
"derrotismo conmiseración","Comas",9,119,989.5,1203.75,988.55,1220.37
"diaforético bodeguero","Ate",13,191,1459.6,2136.09,1841.8,2247.19
"mayorazgo bodocazo","San Martin de Porres",5,66,2054.26,1928.94,1352.25,1678.75
"ciquiricata capellanía","Puente Piedra",13,197,1255.52,1400.21,1552.05,1549.01
"castrametación insatisfactorio","La Victoria",12,166,1431.46,1438.14,1410.09,1313.67
"condensación prejuiciado","Puente Piedra",5,75,2857.72,3520.96,3528.18,3228.99
"retenencia odontológico","San Martin de Porres",2,44,2798.7,3461.82,2479.87,3320.92
"extáticamente catingoso","Santa Anita",2,45,1005.53,1182.11,822.94,797.3
"echapellas chabacano","Ate",8,115,947.22,750.74,1070.35,1168.42
"desemboscarse centralizador","Villa María del Triunfo",3,50,1435.84,1197.9,1459.43,1381.18
"hermosamente irretractable","San Luis",5,73,1754.49,2005.24,2027.97,1987.93
"oscilante marañero","Los Olivos",8,115,2072.45,2074.75,1905.48,1840.63
"apasionante alcojolado","Lince",5,68,4305.95,4147.47,4181.83,3426.17
"estadunidense ternejal","Villa María del Triunfo",2,32,4586.49,4601.78,5045.13,4824.92
"calitipia mimbrero","Santiago de Surco",6,79,1797.6,2150.39,1832.74,2498.13
"taperujarse pescozada","Ate",5,72,1011.77,960.38,875.72,1244.6
"grafólogo quejigueta","Los Olivos",2,33,2593.47,2083.72,2035.8,2133.85
"tecnócrata talonario","Ate",9,150,2751.79,2754.92,2729.76,2330.39
"achorcholarse guillote","San Martin de Porres",6,85,1262.27,970.07,947.73,1146.78
"conductancia particionero","Santiago de Surco",4,77,3247.36,3509.46,2625.33,3431.22
"dificultad garapita","Breña",8,121,1992.8,2173.63,2196.13,2639.46
"penitencia gobiernista","Jesús María",5,70,3932.03,3241.43,3660.84,3856.26
"monopatín agachadiza","Puente Piedra",6,83,1644.01,1467.79,1618.07,2252.58
"latinista condiscípulo","San Juan de Lurigancho",9,133,1452.49,1096.86,981.79,970.91
"haquitía rebullicio","Chorrillos",6,77,3935.82,5075.05,4506.43,4834.07
"aumentación atestiguar","San Miguel",10,166,1942.58,2643.73,2539.06,2453.72
"mesodermo maricueca","San Juan de Lurigancho",4,59,4224.8,4035.01,4045.06,3393.04
"apellido hemacrimo","El Agustino",2,21,1329.54,1325.56,978.77,841.69
"moralizante redolente","Puente Piedra",9,130,1140.67,1367.91,1035.68,1202.6
"sibarita bocadillo","San Martin de Porres",5,59,2407.96,2404.74,2567.66,2882.72
"septuagenario lúgubremente","San Juan de Lurigancho",3,41,1602.26,1934.81,1133.64,1734.69
"banderillazo tecnicidad","Los Olivos",2,23,1686.37,1715.76,1985.26,1327.98
"sopetear estabilizante","Independencia",2,25,1222.38,1361.99,1045.6,1288.67
"avizorar fringílido","Rimac",6,87,4631.58,4444.8,5182.64,4586.45
"tartrato guardacoches","Comas",2,30,1962.32,1665.54,2121.98,1956.84
"equiponderar inviable","San Juan de Miraflores",6,77,4389.84,3726.98,4081.79,4062.38
"jovialidad guardasellos","La Victoria",13,177,1354.84,1925.07,1470.01,1482.49
"borboritar ligapierna","Santiago de Surco",5,76,3271.02,2113.05,2664.96,2665.91
"heliasta quillotrador","Puente Piedra",2,31,753.31,1074.18,1019.31,1040.26
"sincuate cachumbambé","Ate",2,35,1326.04,1225.15,1497.58,1409.81
"contratapa vandalismo","San Martin de Porres",9,147,3751.98,4966.93,4678.69,3950.92
"convención descomunalmente","Ate",9,131,3852.37,3934.15,4353.3,3118.85
"cabestrero homografía","Comas",5,77,1509.12,1122.03,1292.46,1223.71
"chapeteado inesperable","La Molina",3,45,3730.05,4098.42,3937.51,3520.66
"caprichoso metisaca","Villa María del Triunfo",3,47,1094.62,801.84,1151.37,769.96
"caruncular victimar","Puente Piedra",7,106,1029.68,1015.36,919.44,1091.37
"enloquecimiento hospitalicio","San Luis",4,45,1866.29,1946.11,1533.49,1910.35
"cojijoso quebrandoso","Independencia",3,42,1406.47,970.53,1311.54,1378.24
"levadizo sampedro","Comas",5,85,1957.71,1979.8,2111.12,2054.7
"despedregar perfumero","Santiago de Surco",10,125,4611.67,5163.51,5577.37,4712.01
"tetrabranquial franquista","Santa Anita",6,83,1740.84,1857.87,1550.29,1780.21
"desamparo metalúrgico","San Juan de Lurigancho",4,68,3303.73,3171.09,3000.68,3319.03
"dramatismo adinerarse","San Martin de Porres",5,80,1375.34,2044.67,2007.73,1933.04
"campechanamente pallasquino","La Victoria",4,64,1133.82,1156.32,862.98,1132.74
"afilosofado codirección","Los Olivos",13,200,4835,5360.04,4975.51,4575.82
"durangueño asegurado","Villa María del Triunfo",6,96,3717.81,3980.26,3490,4121.86
"encubierta alectoria","Santiago de Surco",3,47,2467.61,1820.12,2329.51,2363.7
"marconigrama buceador","Santa Anita",5,81,2879.18,3630.58,2848.16,3304.99
"diatomea inicuamente","Puente Piedra",6,84,1210.99,1566.86,1390.58,1336.86
"filatura bartolina","Ate",8,138,5964.65,5755.41,4641.88,4240.32
"repelencia zagalesco","Rimac",9,147,6105.04,4745.33,4766.26,4952.37
"amanecer colimeño","Santa Anita",10,156,1505.92,1515.48,1437.84,1428.1
"paliación antedespacho","San Juan de Lurigancho",4,57,4166.77,4614.63,3867.47,3987.4
"trivialidad percutáneo","Miraflores",4,57,2771.7,3054.65,2484.39,2714.76
"coordinante farinetas","La Molina",7,112,4562.18,3530.92,3477.38,3875.12
"timbrófilo pavesada","Ate",13,193,2723.79,3038.21,3193.61,3208.18
"religiosamente trapacero","Santa Anita",4,63,1801.92,2150.71,1824.65,1789.68
"reencuentro quirófano","El Agustino",7,102,3125.56,3130.78,3444.99,4066.13
"descuajaringar chamurrar","Comas",11,162,1429.82,1338.33,1064.7,1214.9
"fachinal maracayero","San Martin de Porres",4,50,2942.5,2327.47,1848.62,2604.52
"emplástrico estafeta","Barranco",9,137,2216.91,2766.58,2875.18,2528.42
"radiotelegrama folletero","San Juan de Lurigancho",2,24,1910.17,1586.65,1702.55,2530.84
"palpallén basílica","San Juan de Lurigancho",5,83,3167.18,4226.04,3933.42,4260.22
"entoldado senzonte","Ate",4,70,1912.75,1616.69,1881.17,2333.52
"progresivamente garcilla","Chorrillos",4,67,3749.22,3264.61,3041.94,3658.94
"respetosamente pulseada","Santa Anita",3,42,1897.27,2109.67,2469.18,1789.9
"desherbar bilítero","San Juan de Lurigancho",7,104,2703.31,2797.48,2410,1872.31
"marcialidad sobrevista","Lince",10,147,1690.41,2316.87,1909.55,2432.42
"modulación cultivador","Los Olivos",2,28,1897.97,1917.71,2261.78,1980.88
"profazamiento serpenteo","Villa María del Triunfo",5,78,3170.24,4261.58,3354.33,3297.53
"anseriforme palpitación","San Miguel",10,144,4567.73,3785.95,4137.02,4246.02
"vivaquear intelectualidad","San Juan de Lurigancho",9,126,3435.96,4311.49,3359.29,3721.4
"embotarse paraliticarse","Villa María del Triunfo",2,21,2260.42,3214.99,2109.49,2508.88
"vejigazo pictográfico","Santiago de Surco",3,44,2190.87,2164.01,2049.33,1956.56
"carabear borroñoso","Comas",13,212,2147.24,1610.76,1750.08,1712.07
"abogadil fumarada","Puente Piedra",4,63,2790.38,2961.12,2958.15,3599.1
"gurriato escribanil","San Juan de Lurigancho",3,58,1613.21,1039.27,1480.26,1071.35
"manutención monologar","Santa Anita",5,84,1278.24,1002.99,1103.02,1191.46
"zopilotera displasia","El Agustino",3,58,1516.3,1258.53,1043.5,872.87
"trepidante provechosamente","Comas",3,44,2471,2838.61,3498.68,2752.5
"cereceda incomunicado","Puente Piedra",10,167,4120.02,3555.5,3794.45,3559.33
"endeblez degollina","La Molina",2,30,5074.41,5119.83,4534.01,5223.49
"quilolitro jineteada","San Martin de Porres",3,38,2228.75,1645.4,1900.95,1923.35
"abocinado beaterio","San Juan de Miraflores",8,142,2620.54,2892.91,3144.17,2843.74
"pinareño tilichento","Ate",4,52,1063.33,1792.86,1189.87,1141.92
"cabrilla hexágono","Comas",6,83,3125.29,3755.96,3138.69,3707.29
"practicón hemoderivado","Magdalena del Mar",7,86,2112.2,2830.17,2308.62,2214.15
"factibilidad puertaventana","San Juan de Miraflores",6,88,975.1,1137.39,1047.43,1001.18
"política contagio","Los Olivos",5,69,3550.17,3066.45,3085.02,3321.61
"hematógeno oligotrofia","El Agustino",2,43,4894.9,4797.66,4450.65,4002.85
"menguamiento fruición","San Martin de Porres",10,153,2334.4,3192.39,2762.1,1778.5
"desfachatado alindado","San Borja",3,56,2692.79,2143.52,2241.19,2796.56
"perturbable delatador","San Juan de Lurigancho",11,155,1081.42,1037.76,1329.67,1420.01
"trasmundo marimorena","San Miguel",2,29,2650.2,2784.48,2454.17,2683.65
"séxtuplo despreocupación","Ate",3,56,1515.94,1799.71,1300.54,870.2
"anegadizo salmuera","Ate",3,44,785.96,692.91,949.62,980.19
"tirintio penalización","San Martin de Porres",8,116,4602.36,4365.5,4117.61,4342.76
"sobresabido cerógrafo","Santiago de Surco",5,83,2646.82,2261.84,3384.99,2618.21
"devaluatorio atletismo","La Victoria",2,32,1094.83,904.22,945.4,808.12
"soplazón caballeriza","Ate",13,197,2110.9,2213.64,2153.49,2312.33
"nitroformo morillero","San Juan de Lurigancho",3,39,2757.16,2951.83,2715.18,2614.8
"vallista cristianería","San Luis",3,50,971.5,1209.05,1203.64,1479.69
"taperujarse dermoprotector","Villa María del Triunfo",3,32,3817.41,4104.08,4765.46,4764.97
"megahertz infligir","Rimac",7,107,1305.7,1883.71,1301.75,1377.4
"emperchar pretendienta","San Martin de Porres",5,70,1092.58,1279.27,1482.97,1220.19
"probable desasosegar","La Victoria",8,124,4488.87,4537.28,4556.97,4348.63
"retrovirus entrepelar","San Juan de Lurigancho",9,143,2091.15,1837.52,1233.96,1976.69
"dermatosis resolutorio","Los Olivos",2,16,1649.87,1706.15,2088.77,2047.73
"parotiditis escarabajear","Los Olivos",9,152,4358.36,4759.31,4282.41,5184.59
"moldurar vasectomía","San Martin de Porres",4,68,1633.37,1910.93,1601.32,1583.13
"paralipómenos colimense","Chorrillos",13,200,4784.78,4523.45,4866.31,4367.92
"cañariega guaritoto","Santiago de Surco",2,31,2067.79,2239.36,2587.76,2754.46
"marrubio grandemente","Rimac",12,181,1583.02,2139.58,2077.96,1743.25
"selenógrafo anticolegialista","Ate",12,196,2416.6,2274.47,2350.44,2141.65
"inexpresivo sobretendón","Santa Anita",5,64,3046.21,3244.23,2544.91,3163.15
"Calatrava trompicadero","San Martin de Porres",3,41,1929.57,2201.58,2497.6,2301.92
"emponzoñamiento radioaficionado","Ate",5,93,1287.42,1472.24,1324.82,1498.14
"cansamiento filológicamente","Santiago de Surco",8,122,3124.25,3765.52,3680.25,3305.3
"tabernera escarcha","Independencia",13,201,1462.49,1159.45,1329.89,1340.86
"bradipepsia barbilucio","Santa Anita",13,203,1458.79,2171.41,1857.91,2254.02
"aperreado radicando","San Luis",2,29,1409.15,1490.83,2248.03,1746.85
"osezuelo igualatorio","Villa María del Triunfo",8,127,2310.69,2387.7,2200.17,2712.63
"almudejo aceitada","Independencia",10,157,3966.33,5236.72,5118.46,4967.64
"cervariense manferidor","Ate",7,105,1794.57,2100.44,1782.59,2041.57
"dubitante acobambino","San Martin de Porres",7,104,3989.63,3119.09,3164.79,2979.11
"enfurecimiento magnetofónico","San Juan de Lurigancho",12,193,3836.53,4236.37,4507.45,4134.59
"espárrago pillopillo","San Juan de Lurigancho",2,26,1085.8,1686.29,1360.89,1309.95
"urubambino cretinez","San Juan de Lurigancho",6,95,1292.24,1277.62,1108.48,1007.64
"villanchón cacharra","Ate",7,96,6269.45,5243.51,4157.65,5071.33
"nacatamalero pantorrillera","San Juan de Lurigancho",5,68,1331.44,1383.99,1588.1,1826.21
"constantinopolitano tropecientos","Barranco",11,176,2666.93,2395.33,1947.39,2023.54
"arricesa damerograma","Santiago de Surco",7,102,1762.08,1701.3,1712.97,1680.53
"mercerizar cancioneta","San Juan de Lurigancho",5,71,4378.22,4567.45,4224.34,4076.21
"lijadura remplazar","Villa María del Triunfo",4,54,1026.26,1113.04,1354.16,1602.72
"astucioso retentivo","Villa María del Triunfo",13,184,2699.62,2508.43,2699.89,2861.87
"ditirámbico encuartelar","Comas",4,56,5633.15,5475.67,5793.93,4831.8
"guardalmacén pediluvio","San Juan de Lurigancho",6,87,2457.15,2585.77,2040.36,2254.43
"robapelo guacharrazo","Comas",11,172,5059.93,4823.42,3982.51,5230.67
"autónomo conocedor","Independencia",4,51,1594.36,1685.12,1611.21,2264.86
"campanazo chafarrocas","Santiago de Surco",7,114,997.7,1721.11,1622.28,1759.63
"anguilazo cachirulear","Puente Piedra",13,195,2242.97,1709.25,1785.59,2236.36
"falsamente cantaclaro","Chorrillos",4,70,3800.78,4176.1,3904.24,4412.37
"desaliento academizar","San Juan de Lurigancho",8,102,1756.24,1844.86,1633.89,2034.75
